,Round/Pick,Player,Elapsed Time,Roto Rank Overall,Roto Rank Pos,Pick,Round
66,7 / 50,Blake Snell SP | TB,37 sec,467.0,#313 P,50,7
67,8 / 63,Vladimir Guerrero 3B | TOR,42 sec,1185.0,#46 3B,63,8
68,9 / 66,Trevor Bauer SP | CIN,33 sec,68.0,#44 P,66,9
69,10 / 79,Paul Goldschmidt 1B | STL,12 sec,401.0,#22 1B,79,10
70,11 / 82,Yoan Moncada 3B | CHW,21 sec,222.0,#17 3B,82,11
71,12 / 95,Jeff McNeil LF | NYM,39 sec,395.0,#63 OF,95,12
72,13 / 98,Willson Contreras C | CHC,39 sec,241.0,#4 C,98,13
73,14 / 111,Kyle Schwarber LF | CHC,9 min 50 sec,208.0,#35 OF,111,14
74,15 / 114,James Paxton SP | NYY,40 sec,1766.0,#944 P,114,15
75,16 / 127,Hyun-Jin Ryu SP | TOR,42 sec,1770.0,#946 P,127,16
76,17 / 130,Sean Manaea SP | OAK,41 sec,544.0,#354 P,130,17
77,18 / 143,Masahiro Tanaka SP | NYY,39 sec,474.0,#317 P,143,18
78,19 / 146,Craig Kimbrel RP | CHC,30 sec,1813.0,#963 P,146,19
79,20 / 159,Jorge Polanco SS | MIN,43 sec,349.0,#20 SS,159,20
80,21 / 162,Aaron Hicks CF | NYY,26 sec,528.0,#89 OF,162,21
81,22 / 175,Joc Pederson LF | LAD,32 sec,473.0,#76 OF,175,22
82,23 / 178,Michael Wacha SP | NYM ,39 sec,673.0,#880 P,178,23
83,24 / 191,Johnny Cueto SP | SF,40 sec,598.0,#378 P,191,24
84,25 / 194,Joey Votto 1B | CIN,39 sec,157.0,#4 1B,194,25
85,26 / 207,Gavin Lux 2B | LAD,8 sec,1268.0,#86 2B,207,26
86,27 / 210,Didi Gregorius SS | PHI,34 sec,297.0,#15 SS,210,27
87,28 / 223,Francisco Mejia C | SD,8 sec,1259.0,#48 C,223,28
88,29 / 226,Jordan Montgomery SP | NYY,19 sec,104.0,#75 P,226,29
89,30 / 239,Brandon Nimmo CF | NYM,33 sec,151.0,#24 OF,239,30
90,1 / 8,Alex Bregman 3B | HOU,45 sec,412.0,#26 3B,8,1
91,2 / 9,Trevor Story SS | COL,1 sec,10.0,#2 SS,9,2
92,3 / 24,Anthony Rendon 3B | LAA,0 sec,418.0,#27 3B,24,3
93,4 / 25,Shane Bieber SP | CLE,0 sec,1.0,#1 P,25,4
94,5 / 40,Starling Marte CF | ARI,0 sec,384.0,#60 OF,40,5
95,6 / 41,Charlie Blackmon RF | COL,0 sec,178.0,#30 OF,41,6
96,7 / 56,Aaron Nola SP | PHI,0 sec,434.0,#291 P,56,7
97,8 / 57,Whit Merrifield 2B | KC,0 sec,16.0,#1 2B,57,8
98,9 / 72,J.T. Realmuto C | PHI,0 sec,579.0,#19 C,72,9
99,10 / 73,Joey Gallo CF | TEX,0 sec,142.0,#22 OF,73,10
100,11 / 88,Gary Sanchez C | NYY,0 sec,1824.0,#180 C,88,11
101,12 / 89,Brandon Woodruff SP | MIL,0 sec,9.0,#8 P,89,12
102,13 / 104,Tim Anderson SS | CHW,0 sec,226.0,#11 SS,104,13
103,14 / 105,Marcell Ozuna LF | ATL,0 sec,35.0,#9 OF,105,14
104,15 / 120,Corey Kluber SP | TEX,0 sec,408.0,#275 P,120,15
105,16 / 121,Carlos Carrasco SP | CLE,0 sec,51.0,#33 P,121,16
106,17 / 136,Taylor Rogers RP | MIN,0 sec,50.0,#32 P,136,17
107,18 / 137,Matthew Boyd SP | DET,0 sec,1720.0,#939 P,137,18
108,19 / 152,Dinelson Lamet SP | SD,1 sec,49.0,#31 P,152,19
109,20 / 153,Madison Bumgarner SP | ARI,0 sec,259.0,#178 P,153,20
110,21 / 168,J.D. Davis LF | NYM,0 sec,139.0,#21 OF,168,21
111,22 / 169,Edwin Encarnacion 1B | CHW,0 sec,1186.0,#54 1B,169,22
112,23 / 184,Carlos Martinez RP | STL,0 sec,1809.0,#962 P,184,23
113,24 / 185,Scott Kingery CF | PHI,1 sec,1749.0,#310 OF,185,24
114,25 / 200,Willie Calhoun LF | TEX,0 sec,1823.0,#330 OF,200,25
115,26 / 201,Lourdes Gurriel LF | TOR,0 sec,443.0,#69 OF,201,26
116,27 / 216,Lorenzo Cain CF | MIL,0 sec,459.0,#72 OF,216,27
117,28 / 217,Avisail Garcia RF | MIL,0 sec,605.0,#108 OF,217,28
118,29 / 232,Omar Narvaez C | MIL,0 sec,1228.0,#42 C,232,29
119,30 / 233,Christian Vazquez C | BOS,0 sec,36.0,#1 C,233,30
120,1 / 4,Mookie Betts RF | LAD,18 sec,168.0,#28 OF,4,1
121,2 / 13,Freddie Freeman 1B | ATL,34 sec,193.0,#6 1B,13,2
122,3 / 20,J.D. Martinez DH | BOS,21 sec,559.0,#200 U,20,3
123,4 / 29,Jose Altuve 2B | HOU,39 sec,242.0,#17 2B,29,4
124,5 / 36,Ketel Marte CF | ARI,24 sec,273.0,#42 OF,36,5
125,6 / 45,Luis Castillo SP | CIN,40 sec,244.0,#167 P,45,6
126,7 / 52,Nelson Cruz DH | MIN,27 sec,17.0,#5 U,52,7
127,8 / 61,DJ LeMahieu 2B | NYY,41 sec,210.0,#14 2B,61,8
128,9 / 68,Eugenio Suarez 3B | CIN,41 sec,1796.0,#113 3B,68,9
129,10 / 77,Nick Castellanos RF | CIN,45 sec,66.0,#13 OF,77,10
130,11 / 84,Jose Berrios SP | MIN,44 sec,627.0,#392 P,84,11
131,12 / 93,Eloy Jimenez LF | CHW,44 sec,130.0,#18 OF,93,12
132,13 / 100,Liam Hendriks RP | OAK,45 sec,172.0,#121 P,100,13
133,14 / 109,Roberto Osuna RP | HOU,41 sec,173.0,#122 P,109,14
