"Round/Pick","Player","Elapsed Time","Roto Rank Overall","Roto Rank Pos"
"12 / 95","Jeff McNeil LF | NYM","39 sec","395.00","#63 OF"
"13 / 98","Willson Contreras C | CHC","39 sec","241.00","#4 C"
"14 / 111","Kyle Schwarber LF | CHC","9 min 50 sec","208.00","#35 OF"
"15 / 114","James Paxton SP | NYY","40 sec","1766.00","#944 P"
"16 / 127","Hyun-Jin Ryu SP | TOR","42 sec","1770.00","#946 P"
"17 / 130","Sean Manaea SP | OAK","41 sec","544.00","#354 P"
"18 / 143","Masahiro Tanaka SP | NYY","39 sec","474.00","#317 P"
"19 / 146","Craig Kimbrel RP | CHC","30 sec","1813.00","#963 P"
"20 / 159","Jorge Polanco SS | MIN","43 sec","349.00","#20 SS"
"21 / 162","Aaron Hicks CF | NYY","26 sec","528.00","#89 OF"
"22 / 175","Joc Pederson LF | LAD","32 sec","473.00","#76 OF"
"23 / 178","Marcus Stroman SP | NYM","39 sec","673.00","#880 P"
"24 / 191","Johnny Cueto SP | SF","40 sec","598.00","#378 P"
"25 / 194","Joey Votto 1B | CIN","39 sec","157.00","#4 1B"
"26 / 207","Gavin Lux 2B | LAD","8 sec","1268.00","#86 2B"
"27 / 210","Didi Gregorius SS | PHI","34 sec","297.00","#15 SS"
"28 / 223","Francisco Mejia C | SD","8 sec","1259.00","#48 C"
"29 / 226","Jordan Montgomery SP | NYY","19 sec","104.00","#75 P"
"30 / 239","Brandon Nimmo CF | NYM","33 sec","151.00","#24 OF"
"Round/Pick","Player","Elapsed Time","Roto Rank Overall","Roto Rank Pos"
"1 / 8","Alex Bregman 3B | HOU","45 sec","412.00","#26 3B"
"2 / 9","Trevor Story SS | COL","1 sec","10.00","#2 SS"
"3 / 24","Anthony Rendon 3B | LAA","0 sec","418.00","#27 3B"
"4 / 25","Shane Bieber SP | CLE","0 sec","1.00","#1 P"
"5 / 40","Starling Marte CF | ARI","0 sec","384.00","#60 OF"
"6 / 41","Charlie Blackmon RF | COL","0 sec","178.00","#30 OF"
"7 / 56","Aaron Nola SP | PHI","0 sec","434.00","#291 P"
"8 / 57","Whit Merrifield 2B | KC","0 sec","16.00","#1 2B"
"9 / 72","J.T. Realmuto C | PHI","0 sec","579.00","#19 C"
"10 / 73","Joey Gallo CF | TEX","0 sec","142.00","#22 OF"
"11 / 88","Gary Sanchez C | NYY","0 sec","1824.00","#180 C"
"12 / 89","Brandon Woodruff SP | MIL","0 sec","9.00","#8 P"
"13 / 104","Tim Anderson SS | CHW","0 sec","226.00","#11 SS"
"14 / 105","Marcell Ozuna LF | ATL","0 sec","35.00","#9 OF"
"15 / 120","Corey Kluber SP | TEX","0 sec","408.00","#275 P"
"16 / 121","Carlos Carrasco SP | CLE","0 sec","51.00","#33 P"
"17 / 136","Taylor Rogers RP | MIN","0 sec","50.00","#32 P"
"18 / 137","Matthew Boyd SP | DET","0 sec","1720.00","#939 P"
"19 / 152","Dinelson Lamet SP | SD","1 sec","49.00","#31 P"
"20 / 153","Madison Bumgarner SP | ARI","0 sec","259.00","#178 P"
"21 / 168","J.D. Davis LF | NYM","0 sec","139.00","#21 OF"
"22 / 169","Edwin Encarnacion 1B | CHW","0 sec","1186.00","#54 1B"
"23 / 184","Carlos Martinez RP | STL","0 sec","1809.00","#962 P"
"24 / 185","Scott Kingery CF | PHI","1 sec","1749.00","#310 OF"
"25 / 200","Willie Calhoun LF | TEX","0 sec","1823.00","#330 OF"
"26 / 201","Lourdes Gurriel LF | TOR","0 sec","443.00","#69 OF"
"27 / 216","Lorenzo Cain CF | MIL","0 sec","459.00","#72 OF"
"28 / 217","Avisail Garcia RF | MIL","0 sec","605.00","#108 OF"
"29 / 232","Omar Narvaez C | MIL","0 sec","1228.00","#42 C"
"30 / 233","Christian Vazquez C | BOS","0 sec","36.00","#1 C"
"Round/Pick","Player","Elapsed Time","Roto Rank Overall","Roto Rank Pos"
"1 / 4","Mookie Betts RF | LAD","18 sec","168.00","#28 OF"
"2 / 13","Freddie Freeman 1B | ATL","34 sec","193.00","#6 1B"
"3 / 20","J.D. Martinez DH | BOS","21 sec","559.00","#200 U"
"4 / 29","Jose Altuve 2B | HOU","39 sec","242.00","#17 2B"
"5 / 36","Ketel Marte CF | ARI","24 sec","273.00","#42 OF"
"6 / 45","Luis Castillo SP | CIN","40 sec","244.00","#167 P"
"7 / 52","Nelson Cruz DH | MIN","27 sec","17.00","#5 U"
"8 / 61","DJ LeMahieu 2B | NYY","41 sec","210.00","#14 2B"
"9 / 68","Eugenio Suarez 3B | CIN","41 sec","1796.00","#113 3B"
