Round/Pick,Player,Elapsed Time,Roto Rank Overall,Roto Rank Pos
24 / 191,Johnny Cueto SP | SF,40 seC598,#378,P
25 / 194,Joey Votto 1B | CIN,39 seC157,#4,1B
26 / 207,Gavin Lux 2B | LAD,8 seC1268,#86,2B
27 / 210,Didi Gregorius SS | PHI,34 seC297,#15,SS
28 / 223,Francisco Mejia C | SD,8 seC1259,#48,C
29 / 226,Jordan Montgomery SP | NYY,19 seC104,#75,P
30 / 239,Brandon Nimmo CF | NYM,33 seC151,#24,OF
Round/Pick,Player,Elapsed Time,Roto,Rank,Overall
1 / 8,Alex Bregman 3B | HOU,45 seC412,#26 3B
2 / 9,Trevor Story SS | COL,1 seC10,#2,SS
3 / 24,Anthony Rendon 3B | LAA,0 seC418,#27,3B
4 / 25,Shane Bieber SP | CLE,0 seC1,#1,P
5 / 40,Starling Marte CF | ARI,0 seC384,#60,OF
6 / 41,Charlie Blackmon RF | COL,0 seC178,#30,OF
7 / 56,Aaron Nola SP | PHI,0 seC434,#291,P
8 / 57,Whit Merrifield 2B | KC,0 seC16,#1 2B
9 / 72,J.T. Realmuto C | PHI,0 seC579,#19,C
10 / 73,Joey Gallo CF | TEX,0 seC142,#22,OF
11 / 88,Gary Sanchez C | NYY,0 seC1824,#180,C
12 / 89,Brandon Woodruff SP | MIL,0 seC9,#8,P
13 / 104,Tim Anderson SS | CHW,0 seC226,#11,SS
14 / 105,Marcell Ozuna LF | ATL,0 seC35,#9,OF
15 / 120,Corey Kluber SP | TEX,0 seC408,#275,P
16 / 121,Carlos Carrasco SP | CLE,0 seC51,#33,P
17 / 136,Taylor Rogers RP | MIN,0 seC50,#32,P
18 / 137,Matthew Boyd SP | DET,0 seC1720,#939,P
19 / 152,Dinelson Lamet SP | SD,1 seC49,#31,P
20 / 153,Madison Bumgarner SP | ARI,0 seC259,#178,P
21 / 168,J.D. Davis LF | NYM,0 seC139,#21,OF
22 / 169,Edwin Encarnacion 1B | CHW,0 seC1186,#54,1B
23 / 184,Carlos Martinez RP | STL,0 seC1809,#962,P
24 / 185,Scott Kingery CF | PHI,1 seC1749,#310,OF
25 / 200,Willie Calhoun LF | TEX,0 seC1823,#330,OF
26 / 201,Lourdes Gurriel LF | TOR,0 seC443,#69,OF
27 / 216,Lorenzo Cain CF | MIL,0 seC459,#72,OF
28 / 217,Avisail Garcia RF | MIL,0 seC605,#108,OF
29 / 232,Omar Narvaez C | MIL,0 seC1228,#42,C
30 / 233,Christian Vazquez C | BOS,0 seC36,#1,C
Round/Pick,Player,Elapsed Time,Roto,Rank,Overall
1 / 4,Mookie Betts RF | LAD,18 seC168,#28,OF
2 / 13,Freddie Freeman 1B | ATL,34 seC193,#6,1B
3 / 20,J.D. Martinez DH | BOS,21 seC559,#200,U
4 / 29,Jose Altuve 2B | HOU,39 seC242,#17 2B
5 / 36,Ketel Marte CF | ARI,24 seC273,#42,OF
6 / 45,Luis Castillo SP | CIN,40 seC244,#167,P
7 / 52,Nelson Cruz DH | MIN,27 seC17,#5,U
8 / 61,DJ LeMahieu 2B | NYY,41 seC210,#14,2B
9 / 68,Eugenio Suarez 3B | CIN,41 seC1796,#113,3B
10 / 77,Nick Castellanos RF | CIN,45 seC66,#13,OF
11 / 84,Jose Berrios SP | MIN,44 seC627,#392,P
12 / 93,Eloy Jimenez LF | CHW,44 seC130,#18,OF
13 / 100,Liam Hendriks RP | OAK,45 seC172,#121,P
14 / 109,Roberto Osuna RP | HOU,41 seC173,#122 P
15 / 116,Edwin Diaz RP | NYM,44 seC431,#288,P
16 / 125,Justin Turner 3B | LAD,10 seC315,#20,3B
17 / 132,Corey Seager SS | LAD,16 seC28,#4,SS
18 / 141,Kyle Hendricks SP | CHC,11 seC46,#28 P
19 / 148,Ross Stripling RP | LAD,9 seC11,#9,P
20 / 157,Rich Hill SP | MIN,38 seC73,#49,P
21 / 164,Aaron Civale SP | CLE,28 seC110,#81,P
22 / 173,Sandy Alcantara SP | MIA,14 seC45,#27,P
23 / 180,Nathan Eovaldi SP | BOS,45 seC106,#77,P
24 / 189,Wilson Ramos C | NYM,15 seC1756,#174,C
25 / 196,Brandon Kintzler RP | MIA,41 seC288,#197,P
26 / 205,Jose Leclerc RP | TEX,45 seC379,#260,P
27 / 212,Yonny Chirinos SP | TB,47 seC294,#202,P
28 / 221,Nate Pearson SP | TOR,20 seC154,#110,P
29 / 228,Mike Yastrzemski LF | SF,31 seC1773,#948,P
30 / 237,Zack Britton RP | NYY,25 seC355,#245,P
Round/Pick,Player,Elapsed Time,Roto,Rank,Overall
1 / 6,Cody Bellinger RF | LAD,6 seC1242,#144,OF
2 / 11,Nolan Arenado 3B | COL,27 seC646,#43,3B
3 / 22,Justin Verlander SP | HOU,12 seC72,#48 P
4 / 27,Jack Flaherty SP | STL,26 seC83,#58,P
5 / 38,Ozzie Albies 2B | ATL,39 seC421,#28,2B
6 / 43,Chris Paddack SP | SD,18 seC34,#19,P
7 / 54,Giancarlo Stanton LF | NYY,11 seC124,#17,OF
8 / 59,Mike Soroka SP | ATL,32 seC103,#74,P
9 / 70,Anthony Rizzo 1B | CHC,14 seC116,#2 1B
10 / 75,Sonny Gray SP | CIN,34 seC2,#2,P
11 / 86,Michael Brantley LF | HOU,46 seC61,#11 OF
12 / 91,Frankie Montas SP | OAK,0 seC334,#232,P
13 / 102,Carlos Correa SS | HOU,46 seC289,#14 SS
14 / 107,Jose Abreu 1B | CHW,44 seC346,#18,1B
15 / 118,Cavan Biggio 2B | TOR,17 seC270,#19,2B
16 / 123,Salvador Perez C | KC,33 seC354,#7 C
17 / 134,Yuli Gurriel 1B | HOU,45 seC282,#15 1B
18 / 139,Eduardo Escobar 3B | ARI,0 seC1222,#52,3B
19 / 150,Yoenis Cespedes LF | NYM,4 seC470,#75,OF
20 / 155,Ryan Yarbrough RP | TB,47 seC89,#63,P
21 / 166,Adam Wainwright SP | STL,37 seC1795,#321,OF
22 / 171,German Marquez SP | COL,47 seC1815,#964,P
23 / 182,Alex Colome RP | CHW,35 seC237,#163,P
24 / 187,Hector Neris RP | PHI,14 seC392,#267,P
25 / 198,Alex Cobb SP | BAL,40 seC673,#556,P
26 / 203,Bryan Reynolds LF | PIT,24 seC1236,#139,OF
27 / 214,Mark Melancon RP | ATL,18 seC148,#107,P
28 / 219,A.J. Pollock CF | LAD,47 seC133,#19,OF
29 / 230,Andrew Heaney SP | LAA,14 seC102,#73,P
30 / 235,Jake Odorizzi SP | MIN,45 seC673,#490,P
Round/Pick,Player,Elapsed Time,Roto,Rank,Overall
1 / 7,Trea Turner SS | WAS,47 seC508,#29,SS
2 / 10,Francisco Lindor SS | CLE,0 seC301,#16,SS
3 / 23,Juan Soto LF | WAS,0 seC1268,#180,OF
4 / 26,Mike Clevinger SP | CLE,0 seC407,#274,P
5 / 39,Patrick Corbin SP | WAS,0 seC87,#61,P
6 / 42,Yordan Alvarez DH | HOU,0 seC1268,#738 U
7 / 55,Lucas Giolito SP | CHW,0 seC615,#386,P
8 / 58,Jonathan Villar 2B | MIA,0 seC1778,#113,2B
9 / 71,Yu Darvish SP | CHC,0 seC38,#21 P
10 / 74,Jorge Soler DH | KC,0 seC218,#68 U
11 / 87,Austin Meadows RF | TB,0 seC1268,#150,OF
12 / 90,Tommy Pham LF | SD,0 seC24,#6,OF
13 / 103,Matt Chapman 3B | OAK,0 seC601,#41,3B
14 / 106,Eddie Rosario LF | MIN,0 seC153,#25,OF
15 / 119,Miguel Sano 3B | MIN,0 seC454,#30,3B
16 / 122,Lance Lynn SP | TEX,0 seC5,#5,P
17 / 135,Aroldis Chapman RP | NYY,0 seC673,#790,P
18 / 138,Danny Santana CF | TEX,0 seC1821,#328,OF
19 / 151,Julio Urias RP | LAD,0 seC93,#66,P
20 / 154,Jesus Luzardo RP | OAK,0 seC201,#138,P
21 / 167,Lance McCullers SP | HOU,0 seC385,#262 P
22 / 170,Carson Kelly C | ARI,0 seC672,#30,C
23 / 183,Tommy Edman 3B | STL,0 seC485,#31,3B
24 / 186,Mallex Smith CF | SEA,0 seC1212,#132,OF
25 / 199,Garrett Hampson 2B | COL,0 seC572,#42,2B
26 / 202,Mike Minor SP | TEX,0 seC539,#350,P
27 / 215,Byron Buxton CF | MIN,0 seC1692,#290,OF
28 / 218,Gio Urshela 3B | NYY,0 seC135,#8,3B
29 / 231,Justin Upton LF | LAA,0 seC611,#112,OF
30 / 234,Ryan Braun LF | MIL,0 seC1207,#130,OF
Round/Pick,Player,Elapsed Time,Roto,Rank,Overall
1 / 3,Mike Trout CF | LAA,10 seC351,#52,OF
2 / 14,Jose Ramirez 3B | CLE,37 seC44,#3,3B
3 / 19,Max Scherzer SP | WAS,16 seC91,#65,P
4 / 30,Pete Alonso 1B | NYM,3 min 47 seC512,#32,1B
5 / 35,Charlie Morton SP | TB,11 seC1205,#922,P
6 / 46,Clayton Kershaw SP | LAD,47 seC673,#453,P
7 / 51,Dansby Swanson SS | ATL ,12 seC558,#33,SS
8 / 62,Victor Robles CF | WAS,9 seC420,#68,OF
9 / 67,Matt Olson 1B | OAK,23 seC510,#31,1B
10 / 78,Max Kepler RF | MIN,25 seC298,#45,OF
11 / 83,Manny Machado 3B | SD,11 seC174,#12,3B
12 / 94,Luis Robert CF | CHW,34 seC60,#10,OF
13 / 99,Ramon Laureano CF | OAK,36 seC223,#37,OF
14 / 110,Kenley Jansen RP | LAD,19 seC213,#146,P
15 / 115,Mike Moustakas 3B | CIN,9 seC158,#11,3B
16 / 126,Max Fried SP | ATL,37 seC15,#12,P
17 / 131,Brad Hand RP | CLE,29 seC446,#300,P
18 / 142,Zack Wheeler SP | PHI,22 seC86,#60,P
19 / 147,Will Smith C | LAD,25 seC642,#24,C
20 / 158,Brandon Workman RP | BOS,42 seC266,#184,P
21 / 163,Khris Davis DH | OAK,12 seC1828,#861,U
22 / 174,Kyle Lewis RF | SEA,7 seC600,#380,P
23 / 179,Joe Jimenez RP | DET,10 seC1833,#971,P
24 / 190,Sam Hilliard CF | COL,10 seC561,#96,OF
25 / 195,Brandon Lowe 2B | TB ,10 seC1719,#782,U
26 / 206,Trent Grisham CF | SD,7 seC20,#3,OF
27 / 211,Steven Matz SP | NYM,33 seC480,#27,SS
28 / 222,Adrian Houser SP | MIL,7 seC224,#153,P
29 / 227,Daniel Murphy 1B | COL,13 seC1231,#61,1B
30 / 238,Cristian Javier SP | HOU,24 seC221,#152 P
