Round/Pick,Player,Elapsed Time,Roto Rank Overall,Roto Rank Pos,Pick,Round
1 / 5,Gerrit Cole SP | NYY,17 seC8,#7,P,5,1
2 / 12,Jacob deGrom SP | NYM,38 seC33,#18,P,12,2
3 / 21,Aaron Judge RF | NYY,11 seC26,#7,OF,21,3
4 / 28,Bryce Harper RF | PHI,16 seC484,#80,OF,28,4
5 / 37,Josh Donaldson 3B | MIN,38 seC526,#36,3B,37,5
6 / 44,Max Muncy 2B | LAD,10 seC150,#8,2B,44,6
7 / 53,Josh Hader RP | MIL,24 seC206,#142,P,53,7
8 / 60,Josh Bell 1B | PIT,44 seC550,#38,1B,60,8
9 / 69,Yasmani Grandal C | CHW,43 seC619,#21,C,69,9
10 / 76,Shohei Ohtani DH | LAA,47 seC265,#83,U,76,10
11 / 85,Marcus Semien SS | OAK,22 seC589,#40,SS,85,11
12 / 92,Michael Conforto RF | NYM,40 seC256,#40,OF,92,12
13 / 101,Andrew McCutchen LF | PHI,42 seC1810,#325,OF,101,13
14 / 108,Carlos Santana 1B | CLE,5 seC519,#33,1B,108,14
15 / 117,Franmil Reyes RF | CLE,6 seC1689,#289,OF,117,15
16 / 124,Rhys Hoskins 1B | PHI,7 seC1175,#50,1B,124,16
17 / 133,Kenta Maeda SP | MIN,18 seC4,#4,P,133,17
18 / 140,Dallas Keuchel SP | CHW,29 seC524,#341,P,140,18
19 / 149,Nick Markakis RF | ATL,16 seC339,#49,OF,149,19
20 / 156,Jo Adell RF | LAA,35 seC1268,#224,OF,156,20
21 / 165,Luke Voit 1B | NYY,9 seC280,#14,1B,165,21
22 / 172,MacKenzie Gore SP | SD,19 seC673,#555,P,172,22
23 / 181,Drew Pomeranz RP | SD,32 seC533,#346,P,181,23
24 / 188,Ryan McMahon 2B | COL,8 seC1808,#961,P,188,24
25 / 197,Starlin Castro 2B | WAS,17 seC383,#59,OF,197,25
26 / 204,Tyler O'Neill LF | STL,29 seC1195,#55,2B,204,26
27 / 213,Dylan Bundy SP | LAA,19 seC1839,#975,P,213,27
28 / 220,Griffin Canning SP | LAA,16 seC417,#26,SS,220,28
29 / 229,Josh Lindblom RP | MIL,16 seC527,#343,P,229,29
30 / 236,Daniel Hudson RP | WAS,11 seC645,#118,OF,236,30
1 / 1,Ronald Acuna CF | ATL517,,,,1,1
2 / 16,Rafael Devers 3B | BOS,9 seC1218,#50,3B,16,2
3 / 17,Walker Buehler SP | LAD,6 seC422,#281,P,17,3
4 / 32,Xander Bogaerts SS | BOS,13 seC353,#21,SS,32,4
5 / 33,Keston Hiura 2B | MIL,19 seC184,#13,2B,33,5
6 / 48,Zack Greinke SP | HOU,14 seC350,#243 P,,48,6
7 / 49,Tyler Glasnow SP | TB,5 seC125,#91,P,49,7
8 / 64,Kirby Yates RP | SD,14 seC1805,#958,P,64,8
9 / 65,Kris Bryant 3B | CHC,16 seC1238,#53 3B,,65,9
10 / 80,Mitch Garver C | MIN,15 seC1735,#167,C,80,10
11 / 81,Bo Bichette SS | TOR,27 seC573,#36,SS,81,11
12 / 96,Zac Gallen SP | ARI,24 seC143,#103,P,96,12
13 / 97,Andrew Benintendi LF | BOS,9 seC1736,#306,OF,97,13
14 / 112,Archie Bradley RP | ARI,21 seC59,#39,P,112,14
15 / 113,David Dahl CF | COL,10 seC453,#70,OF,113,15
16 / 128,Eric Hosmer 1B | SD,10 seC191,#5,1B,128,16
17 / 129,Nick Senzel CF | CIN,6 seC371,#54,OF,129,17
18 / 144,Nick Anderson RP | TB,11 seC115,#84,P,144,18
19 / 145,Dustin May RP | LAD,5 seC352,#244,P,145,19
20 / 160,Miguel Cabrera DH | DET,17 seC1748,#103,1B,160,20
21 / 161,Alex Verdugo CF | BOS,12 seC1241,#143,OF,161,21
22 / 176,Andrew Vaughn 1B | CHW,4 seC1268,#90,1B,176,22
23 / 177,Raisel Iglesias RP | CIN,43 seC635,#398,P,177,23
24 / 192,Jairo Diaz RP | COL,5 seC664,#412 P,,192,24
25 / 193,Wil Myers LF | SD,35 seC167,#27,OF,193,25
26 / 208,Brady Singer SP | KC,13 seC246,#169 P,,208,26
27 / 209,Kyle Tucker LF | HOU,4 seC196,#34 OF,,209,27
28 / 224,Casey Mize SP | DET,21 seC673,#552,P,224,28
29 / 225,Brusdar Graterol RP | LAD,39 seC238,#164,P,225,29
30 / 240,Spencer Torkelson 3B | DET,14 seC1268,#65,3B,240,30
1 / 2,Christian Yelich RF | MIL,31 seC1790,#320,OF,2,1
2 / 15,Gleyber Torres SS | NYY,42 seC551,#32,SS,15,2
3 / 18,Fernando Tatis SS | SD,33 seC19,#3,SS,18,3
4 / 31,Stephen Strasburg SP | WAS,33 seC673,#857,P,31,4
