Round/Pick,Player,Elapsed Time,Roto Rank Overall,Roto Rank Pos,Pick,Round
5 / 34,George Springer CF | HOU,42 seC404,#66 OF,,34,5
6 / 47,Javier Baez SS | CHC,22 seC119,#8 SS,,47,6
7 / 50,Blake Snell SP | TB,37 seC467,#313,P,50,7
8 / 63,Vladimir Guerrero 3B | TOR,42 seC1185,#46,3B,63,8
9 / 66,Trevor Bauer SP | CIN,33 seC68,#44,P,66,9
10 / 79,Paul Goldschmidt 1B | STL,12 seC401,#22,1B,79,10
11 / 82,Yoan Moncada 3B | CHW,21 seC222,#17,3B,82,11
12 / 95,Jeff McNeil LF | NYM,39 seC395,#63,OF,95,12
13 / 98,Willson Contreras C | CHC,39 seC241,#4 C,,98,13
14 / 111,Kyle Schwarber LF | CHC,9 min 50 seC208,#35 OF,,111,14
15 / 114,Jon Lester SP | CHC,40 seC1766,#944,P,114,15
16 / 127,Hyun-Jin Ryu SP | TOR,42 seC1770,#946,P,127,16
17 / 130,Sean Manaea SP | OAK,41 seC544,#354,P,130,17
18 / 143,Masahiro Tanaka SP | NYY,39 seC474,#317,P,143,18
19 / 146,Seth Lugo RP | NYM,30 seC1813,#963 P,,146,19
20 / 159,Jorge Polanco SS | MIN,43 seC349,#20,SS,159,20
21 / 162,Randy Dobnak SP | MIN,26 seC528,#89,OF,162,21
22 / 175,Joc Pederson LF | LAD,32 seC473,#76,OF,175,22
23 / 178,Michael Wacha SP | NYM,39 seC673,#880,P,178,23
24 / 191,Zach Eflin SP | PHI,40 seC598,#378,P,191,24
25 / 194,Joey Votto 1B | CIN,39 seC157,#4,1B,194,25
26 / 207,Gavin Lux 2B | LAD,8 seC1268,#86,2B,207,26
27 / 210,Didi Gregorius SS | PHI,34 seC297,#15,SS,210,27
28 / 223,Teoscar Hernandez CF | TOR,8 seC1259,#48,C,223,28
29 / 226,David Peterson SP | NYM ,19 seC104,#75,P,226,29
30 / 239,Leury Garcia CF | CHW,33 seC151,#24,OF,239,30
1 / 8,Alex Bregman 3B | HOU,45 seC412,#26 3B,,8,1
2 / 9,Trevor Story SS | COL,1 seC10,#2,SS,9,2
3 / 24,Anthony Rendon 3B | LAA,0 seC418,#27,3B,24,3
4 / 25,Shane Bieber SP | CLE,0 seC1,#1,P,25,4
5 / 40,Starling Marte CF | ARI,0 seC384,#60,OF,40,5
6 / 41,Charlie Blackmon RF | COL,0 seC178,#30,OF,41,6
7 / 56,Aaron Nola SP | PHI,0 seC434,#291,P,56,7
8 / 57,Whit Merrifield 2B | KC,0 seC16,#1 2B,,57,8
9 / 72,J.T. Realmuto C | PHI,0 seC579,#19,C,72,9
10 / 73,Joey Gallo CF | TEX,0 seC142,#22,OF,73,10
11 / 88,Gary Sanchez C | NYY,0 seC1824,#180,C,88,11
12 / 89,Brandon Woodruff SP | MIL,0 seC9,#8,P,89,12
13 / 104,Tim Anderson SS | CHW,0 seC226,#11,SS,104,13
14 / 105,Marcell Ozuna LF | ATL,0 seC35,#9,OF,105,14
15 / 120,Corey Kluber SP | TEX,0 seC408,#275,P,120,15
16 / 121,Carlos Carrasco SP | CLE,0 seC51,#33,P,121,16
17 / 136,Taylor Rogers RP | MIN,0 seC50,#32,P,136,17
18 / 137,Matthew Boyd SP | DET,0 seC1720,#939,P,137,18
19 / 152,Dinelson Lamet SP | SD,1 seC49,#31,P,152,19
20 / 153,Madison Bumgarner SP | ARI,0 seC259,#178,P,153,20
21 / 168,J.D. Davis LF | NYM,0 seC139,#21,OF,168,21
22 / 169,Edwin Encarnacion 1B | CHW,0 seC1186,#54,1B,169,22
23 / 184,Carlos Martinez RP | STL,0 seC1809,#962,P,184,23
24 / 185,Scott Kingery CF | PHI,1 seC1749,#310,OF,185,24
25 / 200,Willie Calhoun LF | TEX,0 seC1823,#330,OF,200,25
26 / 201,Lourdes Gurriel LF | TOR,0 seC443,#69,OF,201,26
27 / 216,Lorenzo Cain CF | MIL,0 seC459,#72,OF,216,27
28 / 217,Avisail Garcia RF | MIL,0 seC605,#108,OF,217,28
29 / 232,Omar Narvaez C | MIL,0 seC1228,#42,C,232,29
30 / 233,Christian Vazquez C | BOS,0 seC36,#1,C,233,30
1 / 4,Mookie Betts RF | LAD,18 seC168,#28,OF,4,1
2 / 13,Freddie Freeman 1B | ATL,34 seC193,#6,1B,13,2
3 / 20,J.D. Martinez DH | BOS,21 seC559,#200,U,20,3
4 / 29,Jose Altuve 2B | HOU,39 seC242,#17 2B,,29,4
5 / 36,Ketel Marte CF | ARI,24 seC273,#42,OF,36,5
6 / 45,Luis Castillo SP | CIN,40 seC244,#167,P,45,6
7 / 52,Nelson Cruz DH | MIN,27 seC17,#5,U,52,7
8 / 61,DJ LeMahieu 2B | NYY,41 seC210,#14,2B,61,8
9 / 68,Eugenio Suarez 3B | CIN,41 seC1796,#113,3B,68,9
10 / 77,Nick Castellanos RF | CIN,45 seC66,#13,OF,77,10
11 / 84,Jose Berrios SP | MIN,44 seC627,#392,P,84,11
12 / 93,Eloy Jimenez LF | CHW,44 seC130,#18,OF,93,12
13 / 100,Liam Hendriks RP | OAK,45 seC172,#121,P,100,13
14 / 109,Ryan Pressly RP | HOU,41 seC173,#122 P,,109,14
15 / 116,Edwin Diaz RP | NYM,44 seC431,#288,P,116,15
16 / 125,Justin Turner 3B | LAD,10 seC315,#20,3B,125,16
17 / 132,Corey Seager SS | LAD,16 seC28,#4,SS,132,17
18 / 141,Kyle Hendricks SP | CHC,11 seC46,#28 P,,141,18
19 / 148,Ross Stripling RP | LAD,9 seC11,#9,P,148,19
20 / 157,Rich Hill SP | MIN,38 seC73,#49,P,157,20
21 / 164,Aaron Civale SP | CLE,28 seC110,#81,P,164,21
22 / 173,Spencer Howard SP | PHI,14 seC45,#27,P,173,22
23 / 180,Trevor Rosenthal RP | KC ,45 seC106,#77,P,180,23
24 / 189,Isiah Kiner-Falefa C | TEX,15 seC1756,#174,C,189,24
25 / 196,Brandon Kintzler RP | MIA,41 seC288,#197,P,196,25
26 / 205,Tyler Mahle SP | CIN,45 seC379,#260,P,205,26
27 / 212,Chris Taylor LF | LAD,47 seC294,#202,P,212,27
28 / 221,Nate Pearson SP | TOR,20 seC154,#110,P,221,28
29 / 228,Mike Yastrzemski LF | SF,31 seC1773,#948,P,228,29
30 / 237,Zack Britton RP | NYY,25 seC355,#245,P,237,30
1 / 6,Cody Bellinger RF | LAD,6 seC1242,#144,OF,6,1
2 / 11,Nolan Arenado 3B | COL,27 seC646,#43,3B,11,2
3 / 22,Justin Verlander SP | HOU,12 seC72,#48 P,,22,3
4 / 27,Jack Flaherty SP | STL,26 seC83,#58,P,27,4
5 / 38,Ozzie Albies 2B | ATL,39 seC421,#28,2B,38,5
6 / 43,Chris Paddack SP | SD,18 seC34,#19,P,43,6
7 / 54,Giancarlo Stanton LF | NYY,11 seC124,#17,OF,54,7
8 / 59,Renato Nunez DH | BAL,32 seC103,#74,P,59,8
9 / 70,Anthony Rizzo 1B | CHC,14 seC116,#2 1B,,70,9
10 / 75,Sonny Gray SP | CIN,34 seC2,#2,P,75,10
11 / 86,Michael Brantley LF | HOU,46 seC61,#11 OF,,86,11
12 / 91,Frankie Montas SP | OAK,0 seC334,#232,P,91,12
13 / 102,Carlos Correa SS | HOU,46 seC289,#14 SS,,102,13
14 / 107,Jose Abreu 1B | CHW,44 seC346,#18,1B,107,14
15 / 118,Cavan Biggio 2B | TOR,17 seC270,#19,2B,118,15
16 / 123,Salvador Perez C | KC,33 seC354,#7 C,,123,16
17 / 134,Yuli Gurriel 1B | HOU,45 seC282,#15 1B,,134,17
18 / 139,Eduardo Escobar 3B | ARI,0 seC1222,#52,3B,139,18
19 / 150,Kyle Seager 3B | SEA,4 seC470,#75,OF,150,19
20 / 155,Ryan Yarbrough RP | TB,47 seC89,#63,P,155,20
21 / 166,Adam Wainwright SP | STL,37 seC1795,#321,OF,166,21
22 / 171,German Marquez SP | COL,47 seC1815,#964,P,171,22
23 / 182,Alex Colome RP | CHW,35 seC237,#163,P,182,23
24 / 187,Hector Neris RP | PHI,14 seC392,#267,P,187,24
25 / 198,Alex Cobb SP | BAL,40 seC673,#556,P,198,25
26 / 203,Bryan Reynolds LF | PIT,24 seC1236,#139,OF,203,26
27 / 214,Mark Melancon RP | ATL,18 seC148,#107,P,214,27
28 / 219,A.J. Pollock CF | LAD,47 seC133,#19,OF,219,28
29 / 230,Andrew Heaney SP | LAA,14 seC102,#73,P,230,29
30 / 235,Jake Odorizzi SP | MIN,45 seC673,#490,P,235,30
1 / 7,Trea Turner SS | WAS,47 seC508,#29,SS,7,1
2 / 10,Francisco Lindor SS | CLE,0 seC301,#16,SS,10,2
3 / 23,Juan Soto LF | WAS,0 seC1268,#180,OF,23,3
4 / 26,Mike Clevinger SP | CLE,0 seC407,#274,P,26,4
5 / 39,Patrick Corbin SP | WAS,0 seC87,#61,P,39,5
6 / 42,Yordan Alvarez DH | HOU,0 seC1268,#738 U,,42,6
7 / 55,Lucas Giolito SP | CHW,0 seC615,#386,P,55,7
8 / 58,Jonathan Villar 2B | MIA,0 seC1778,#113,2B,58,8
9 / 71,Yu Darvish SP | CHC,0 seC38,#21 P,,71,9
10 / 74,Jorge Soler DH | KC,0 seC218,#68 U,,74,10
11 / 87,Austin Meadows RF | TB,0 seC1268,#150,OF,87,11
12 / 90,Tommy Pham LF | SD,0 seC24,#6,OF,90,12
13 / 103,Matt Chapman 3B | OAK,0 seC601,#41,3B,103,13
14 / 106,Eddie Rosario LF | MIN,0 seC153,#25,OF,106,14
15 / 119,Miguel Sano 3B | MIN,0 seC454,#30,3B,119,15
16 / 122,Lance Lynn SP | TEX,0 seC5,#5,P,122,16
17 / 135,Aroldis Chapman RP | NYY,0 seC673,#790,P,135,17
18 / 138,Danny Santana CF | TEX,0 seC1821,#328,OF,138,18
19 / 151,Julio Urias RP | LAD,0 seC93,#66,P,151,19
20 / 154,Jesus Luzardo RP | OAK,0 seC201,#138,P,154,20
21 / 167,Lance McCullers SP | HOU,0 seC385,#262 P,,167,21
22 / 170,Carson Kelly C | ARI,0 seC672,#30,C,170,22
23 / 183,Tommy Edman 3B | STL,0 seC485,#31,3B,183,23
24 / 186,Mallex Smith CF | SEA,0 seC1212,#132,OF,186,24
25 / 199,Garrett Hampson 2B | COL,0 seC572,#42,2B,199,25
26 / 202,Mike Minor SP | TEX,0 seC539,#350,P,202,26
27 / 215,Byron Buxton CF | MIN,0 seC1692,#290,OF,215,27
28 / 218,Gio Urshela 3B | NYY,0 seC135,#8,3B,218,28
29 / 231,Justin Upton LF | LAA,0 seC611,#112,OF,231,29
30 / 234,Ryan Braun LF | MIL,0 seC1207,#130,OF,234,30
1 / 3,Mike Trout CF | LAA,10 seC351,#52,OF,3,1
2 / 14,Jose Ramirez 3B | CLE,37 seC44,#3,3B,14,2
3 / 19,Max Scherzer SP | WAS,16 seC91,#65,P,19,3
4 / 30,Pete Alonso 1B | NYM,3 min 47 seC512,#32,1B,30,4
5 / 35,Charlie Morton SP | TB,11 seC1205,#922,P,35,5
6 / 46,Clayton Kershaw SP | LAD,47 seC673,#453,P,46,6
7 / 51,Dansby Swanson SS | ATL,12 seC558,#33,SS,51,7
8 / 62,Victor Robles CF | WAS,9 seC420,#68,OF,62,8
9 / 67,Matt Olson 1B | OAK,23 seC510,#31,1B,67,9
10 / 78,Max Kepler RF | MIN,25 seC298,#45,OF,78,10
11 / 83,Manny Machado 3B | SD,11 seC174,#12,3B,83,11
12 / 94,Luis Robert CF | CHW,34 seC60,#10,OF,94,12
13 / 99,Ramon Laureano CF | OAK,36 seC223,#37,OF,99,13
14 / 110,Kenley Jansen RP | LAD,19 seC213,#146,P,110,14
15 / 115,Mike Moustakas 3B | CIN,9 seC158,#11,3B,115,15
16 / 126,Max Fried SP | ATL,37 seC15,#12,P,126,16
17 / 131,Brad Hand RP | CLE,29 seC446,#300,P,131,17
18 / 142,Zack Wheeler SP | PHI,22 seC86,#60,P,142,18
19 / 147,Will Smith C | LAD,25 seC642,#24,C,147,19
20 / 158,Brandon Workman RP | BOS,42 seC266,#184,P,158,20
21 / 163,Dominic Smith 1B | NYM,12 seC1828,#861,U,163,21
22 / 174,Kyle Lewis RF | SEA,7 seC600,#380,P,174,22
23 / 179,Joe Jimenez RP | DET,10 seC1833,#971,P,179,23
24 / 190,Sam Hilliard CF | COL,10 seC561,#96,OF,190,24
25 / 195,David Fletcher 3B | LAA,10 seC1719,#782,U,195,25
26 / 206,Trent Grisham CF | SD,7 seC20,#3,OF,206,26
27 / 211,Zach Plesac SP | CLE ,33 seC480,#27,SS,211,27
28 / 222,Adrian Houser SP | MIL,7 seC224,#153,P,222,28
29 / 227,Daniel Murphy 1B | COL,13 seC1231,#61,1B,227,29
30 / 238,Cristian Javier SP | HOU,24 seC221,#152 P,,238,30
